tune_id,name,alias
1119,"Bloom Of Youth, The","['Downshire, The', ""Geogahan's"", ""Tansey's"", ""Tansey's Favourite""]"
1120,Tame Her When Da Snaw Comes,"['Tame Her When Da Sna Come', 'Tame Her When Da Snow Comes', 'Tame Her When The Snow Comes', ""Tame'er When Da Sna Comes""]"
1123,"Rose Tree, The","['Bhiosa La I bPort Lairge', 'Cups And Saucers', 'False Knight On The Road', 'False Knight On The Road, The', ""I'll Cloot My Johnny's Breeches"", ""Let's Pet The Pope"", 'Lilted March', 'Little May Cullinane', ""Moore's Favourite"", ""Nancy Hogan's Goose"", ""O, I Courted A Farmer's Daughter"", 'Old Lea Rig, The', ""Paddy's Land"", 'Port Lairgè', 'Portlairge', 'Ril Tawe']"
1124,Seaweed On The Yellow Cliff,"['Seaweed At The Yellow Cliff', 'Seaweed Highland Fling, The']"
1126,"Munster Cloak, The","['An Ḟallaigín Ṁuiṁneaċ', 'An Fhalaigín Mhuimhneach', 'An Fhallaingin Mhuimhneach', 'Fallaiġin Muṁan', 'Munster Falageen, The', 'Munster March, The', 'Spanish Cloak', 'Spanish Cloak, The']"
1128,"Bank Of Turf, The","[""Blacksmith's Charm, The"", ""O'Callaghan's Low""]"
1130,"Rakes Of Clonmel, The","[""Ben Kelly's Delight"", ""Ben Kiely's Delight"", 'Boys Of The Lough, The', ""Brian Kieley's Delight"", 'Double Head, The', ""Tom Morrison's Favourite""]"
1131,Richard Dwyer's,"[""Dwyer's"", 'Dwyers', 'Michael Dwyer', 'Richard Dwyer', 'Richie Dwyer', ""Richie Dwyer's"", 'Ril Risteard Ui Dhuibhir']"
1132,"Munster Lass, The","['Munster Lasses', 'Munster Lasses, The', 'Munster Lassie', 'Munster Lassie, The', 'Muster Lass, The', ""Thompson's""]"
1133,Off She Goes,"['Doggie Doggie', 'Doggie Doggie Bark At The Cat', 'Doggy Doggy Bark At The Cat', 'Gigue Du Bonhomme', 'Humpty Dumpty', ""Lancer's Quadrille, The"", ""Lancer's, The"", 'Launch, The', 'Off She Goes To Miramichi', 'Off She Goes!', 'Off We Go', 'Port Dálaiġ 7', 'Port Dálaigh 7', 'Single', ""Walter Bulwer's Off She Goes""]"
1137,Darby The Driver,"[""Amelia's"", ""Con Williams'"", ""Cronin's Favourite"", 'Cronins Favourite', 'Deáirbe An Tiománaí', 'I nDeire Ne Dala', ""Joe Burke's""]"
1138,"Stool Of Repentance, The","['Cuttie Stool, The', ""Mary Custy's"", 'O Stool Of Repentance', ""Stool O' Repentance, The"", 'Waddling Gander, The']"
1139,Dick Sherlock's,"['A Night In Ennis', 'Ash Plant No. 2, The', ""Bobby Gardiner's"", ""Denis Murphy's Favourite"", ""Dickie Sherlock's"", ""Dicky Sherlock's"", ""Jim Kelly's"", ""John Brennan's"", ""Matt Molloy's"", 'Night In Ennis, The', ""Packie Duignan's"", ""Roger Sherlock's"", ""Sean McGuire's"", 'That Night In Ennis', ""Thatcher's Mallet"", 'Tipperary Fancy, The']"
1140,Murphy's,"[""Nellie Murphy's""]"
1141,Captain John's,"['Bonnie Annie', 'Bonnie Annie - Clog', ""Bonnie Annie's Clog"", ""Capt. Corbett's"", ""Captain Corbett's"", ""Captain John's"", 'Copenhagan, The', ""Duke Of Brunswick's, The"", 'Duke Of Brunswicks', 'La Mer', ""Mair's"", 'Mairs', 'Mare, The', ""Prince's, The"", 'Princes', 'Reel Du Goglu']"
1142,Trim The Velvet,['Maisigh An Veilbhit']
1143,Byrne's,"['Byrne, The', 'Byrnes', ""Byrnes'"", 'Cornphíopa Uí Bhrion', 'Cornphíopa Uí Bhroin', 'Crannciuil Ui Broin']"
1144,"Lamplighter, The","[""Lamplighter's, The"", 'Merry Soldier, The']"
1145,Peacock Follow The Hen,"['Cuddle Me Cuddy', 'Here We Go Up, Up, Up', 'Jenny Jumped Over The Wall', 'Mad Moll', 'Peacock And The Hen, The', 'Peacock Followed The Hen, The', 'Peacock Follows The Hen, The', 'Yellow Stockings']"
1146,"Soldier's Cloak, The","['Humours Of Limerick, The', 'Irish Jaunting Car', 'Port Aitheantais Na gCaipini']"
1148,Drag Her Round The Road,"['42 Bunratty', ""Andy Mc Gann's No 42"", 'Andy McGann', ""Andy McGann's"", ""Andy McGann's #42 Bunratty"", 'Andy Mcganns', ""Burke's"", ""Drag Her 'Round The Road"", 'Drag Her Across The Road', 'Drag Her Along The Road', 'Drag Her Around The Road', 'Drag Her Cross The Road', 'Drag Her Round The Roads', 'Drag Her Up The Road', 'Draggin Across The Road', 'Kiss In The Furze No. 2, The', 'Kiss In The Gorse No. 2, The', 'Kiss In The Whin No. 2, The', 'Pullet And Cock', 'Pullet And Cock, The', 'Pullet And The Cock, The', 'Pullet, The', 'Shores Of Lough Graney, The', 'Shores Of Loughgraney, The', 'Throw It Across The Road']"
1149,Maggie Brown's Favourite,"['Bunch Of Clover', 'Bunch Of Clover, The', ""Cadden's Fancy"", 'Maggie Brown', ""Maggie Brown's"", ""Maggie Brown's Fancy"", ""Maggie Brown's Favorite"", ""Maggie Browne's"", ""Maggie Browne's Fancy"", ""Margaret Brown's Favourite"", ""Margrett Brown's Favourite"", ""Miss Brown's Fancy"", ""Miss Browne's"", ""Miss Browne's Fancy"", 'Miss Browns Fancy', ""Miss Margaret Brown's Favourite"", 'Planxty Brown', 'Planxty Browne', 'Planxty Maggie Brown', 'Sweet Maggie Brown', 'Trip To Gorey']"
1150,Gigue Des Sucres,"['Portland Fancy', 'Portland Fancy, The', 'Sugar']"
1151,"Maple Leaf, The",['Gigue De Sherbrooke']
1153,"Brisk Young Lads, The","['Brisk Young Lad, The', 'Bung In Your Eye', 'Bung Your Eye', 'Jolly Old Man, The', 'Mary The Maid', ""There Cam' A Young Man"", 'There Came A Young Man', ""There Came A Young Man To My Daddy's Door""]"
1154,"Happy To Meet, Sorry To Part","['Cherry Blossom, The', 'Happy To Meet', 'Happy To Meet And Sorry To Part', 'Happy To Meet Sorry To Part', 'Happy To Meet You, Sorry To Part', 'Sorry To Part']"
1155,John Stenson's,"[""John Stenson's #1"", ""John Stenson's No 1"", ""John Stenson's No. 1"", 'Stenson One', ""Stenson's #1"", ""Stenson's No 1"", ""Stenson's No. 1"", ""Stenson's Number 1""]"
1157,"Spitfire, The","[""Acrobat's"", ""Acrobat's, The"", ""Baker's"", 'Spit Fire', 'Spit Fire, The', 'Whistler And His Dog, The']"
1158,William Taylor's Table Top,"['Tabletop Mountain', ""William Taylor's Tabletop""]"
1159,Finbarr Dwyer's Favourite,"[""Finbar Dwyer's Favourite"", ""Finbarr Dwyer's Favorite"", ""Finbarr Dwyer's Favourite"", ""John Dwyer's"", ""McGreevy's"", ""Statia Donnelly's""]"
1160,"Lost And Found, The","[""Coleman's"", ""Coleman's Maid On The Green"", ""Dutchman's Frolics, The"", ""James O'Byrne's"", ""James O'Byrnes"", ""Manning's"", 'Miltown', 'Monasteraden', ""Tommy Peoples'""]"
1162,Allie Crocker's,"['Alley Croaker', 'Alley Crocker', 'Allie Crocker', 'Allie Croker', 'Ally Croaker', 'Ally Crocker', 'Aly Croaker', 'Aly Crocker', ""Crocker's"", 'Reel Des Bouchons']"
1163,John Stenson's,"[""John Stenson's #2"", ""John Stenson's No 2"", ""John Stenson's No. 2"", ""John Stinson's #2"", ""Stenson's"", ""Stenson's No. 2""]"
1164,Far From Home,"['Far Frae Hame', 'Windy Gap, The']"
1165,Bruach Na Carraige Baine,"['Brauch Na Carrige Baine', 'Brink Of The White Rock', 'Brink Of The White Rock, The', 'Bruach Na Carraige Bána', 'Bruach Na Carriage Baine', 'Bruach Na Carrige Bana', 'Edge Of The White Rock, The']"
1169,I'll Buy Boots For Maggie,"['Boots For Maggie', 'Buy New Boots For Maggie', 'Corcomroe Abbey', 'New Boots For Maggie']"
1170,"Crosses Of Annagh, The","[""Coen's Memories"", 'Cottage In The Glen, The', 'Cottage In The Grove, The', ""Felix Doran's"", 'Napoleon Crosses The Rockies', ""Old Schoolmaster's Door, The"", ""Paddy Canny's"", ""Raymond Roland's"", ""Tommy Coen's"", ""Tommy Coen's Memories""]"
1171,Peter Street,"['Babe In The Wood', 'Babes In The Wood', 'Blanchland Races, The', ""Nano's Favorites"", ""Nano's Favourites"", 'Peter St', 'Peter St.', ""Peter's Street"", 'Timor The Tartar', 'Timour The Tartar', 'Timur The Tartar']"
1173,Jim Conroy's,"[""Jack Coen's"", ""John Conroy's""]"
1174,King Of The Clans,"['King Of The Clan', 'King Of The Clans, The']"
1175,Donald Blue,"[""Donal' Blue"", ""Johnny Henry's Favourite"", ""Mouse's Coat, The""]"
1177,Maud Millar,"['Donegall Boys', 'I Wish I Never Knew You', ""MacLean's Favorite"", ""MacLean's Favourite"", 'Magic Slipper, The', ""Maud Millar's"", ""Maud Miller's"", 'Maud Millers', 'Maude Millar', 'Maude Miller', 'Mrs Smullen', ""Mrs. Smullen's"", 'My Love Is Fair And Handsome', ""Paddy McFadden's""]"
1178,Sheehan's,"['Black-eyed Sailor, The', 'Broom, The', 'Fess', ""Joe O'Connell's Dream"", 'Lord Wellington', ""Lord Wellington's"", 'Ríl Uí Shiodhacháin', ""Sheean's"", 'Sheehan', ""Wellington's""]"
1179,Paddy O'Snap's,"['Hunting The Hare', ""Paddy O'Snap"", ""Paddy O'Snaps"", 'Quick, We Have But A Second', 'Quick! We Have But A Second']"
1180,Crowley's,"[""Crowley's #2"", ""Crowley's Highland Fling"", ""Crowley's No. 2""]"
1181,Glasgow City Police Pipers,"['Glasgow City Police Pipe Band, The', 'Glasgow City Police Pipers, The', 'Glasgow Police Pipe Band, The', 'Glasgow Police Pipers, The']"
1182,Batchelder's,"['Batchelders', ""Quigley's""]"
1183,"Cabin Hunter, The","['An Biadánaí', 'Road To Cashel, The', ""Sean Kelly's Apple""]"
1185,Sonny Brogan's,"['Brother Gildas', ""Brother Gildas'"", ""Brother's, The"", 'Did You See My Man Looking For Me?', ""Monk's"", ""Monk's, The"", 'Port An Bhráthair', 'Port An Bráthar', 'Port Padraig Na Cara', 'Port Padraig Na Carra', 'Port Sonny Brogan', 'Rev. Bros', ""Reverend Brother's"", ""Reverend Brother's, The"", ""Reverend's Daughter, The"", ""Rose Flanagan's"", ""Sonny Brogan's Fancy"", ""Sonny Broghan's Fancy""]"
1186,Elsie Marley,"['Elsie Marlie', 'Elsie Marly']"
1187,"Little Burnt Potato, The","['Burnt Potato, The', ""Frank's Two-Step""]"
1189,Rory O'More,"['Haste To The Wedding', ""Rory O' More"", ""Rory O'Moore"", ""Rory O'More March, The"", 'Ruadhraí Ó Mórdha', 'Ruaidri Ua Morda']"
1191,Speed The Plough,"['Bí Ag Treabhadh Leat', 'Naval Pillar, The', ""Quigley's"", 'Reel Matane', 'Speed The Plow', 'Tire La Langue']"
1193,La Ronfleuse Gobeil,"['Snoring Miss Gobeil, The']"
1194,"Lads Of Alnwick, The","['Apprentice Lads Of Alnwick', 'Apprentice Lads Of Alnwick, The']"
1195,La Grondeuse,"[""Bennett's Favourite"", 'Great Eastern, The', ""John Brennan's"", 'Silver Spire, The']"
1196,Sir Roger De Coverly,"[""Haymaker's Jig"", 'Maltman Comes On Monday', 'Roger De Coverley', 'Roger De Coverly', 'Sir Roger De Coverley', 'Sir Roger De Coverley No. 2']"
1197,"Boy On The Mountain Top, The","['Boy On The Hill Top, The', 'Boy On The Hilltop', 'Boy On The Hilltop, The', 'Boys On The Hilltop, The']"
1200,Shandon Bells,"['Cat In The Corner No.2, The', 'Killieburn Brae', 'Punch For The Ladies', 'Shandon Bells, The', ""Shandon's Bells"", ""Shandon's Bells, The"", 'Shandons Bells, The', 'Shannon Bells']"
1201,Portpatrick,"['Lass And The Money Is All My Own, The', 'Port Patrick']"
1205,"Castlebar Races, The","['An Ceo Ar An mBán', 'Backhoe, The', 'Black Hoe, The', ""Brown Girl's Sweet, The"", 'Heather And Sage', 'Maid In The Meadow, The', 'Mist In The Meadow, The', 'Mist On The Meadow, The', 'Mist On The Meadows', ""Moran's"", ""Morrison's Fancy"", 'Moving Bogs Of Powellsboro, The', ""Paddy Ban's"", 'Thrush In The Straw, The']"
1207,"New Rigged Ship, The","['Da New Rigged Ship', 'Green Willis', ""Miss Finlay's Delight"", 'New Rigged Ships', 'New-Rigged Ship, The', ""Piper's Fancy, The"", 'Raw Recruit, The']"
1208,"Rusty Gulley, The","[""Chalk's Hornpipe"", 'Geld Him Lasses', 'Geld Him Lasses Geld Him', 'Geld Him Lasses, Geld Him', 'Knives And Forks', ""Punchenella's Hornpipe"", ""Punchinello's Hornpipe"", 'Risty Gulley', 'Rusty Gully', 'Rusty Gully, The', 'Three Rusty Knives', 'Three Rusty Swords', 'Three Sharp Knives']"
1209,Colonel Fraser,"['An Ardtaoiseach Fraser', 'An Coirneal Frazer', ""Colonel Fraser's"", 'Colonel Frasier', 'Colonel Frazer', ""Colonel Frazer's"", 'Colonel Frazers', 'Colonel Frazier', ""Colonel Frazier's""]"
1210,Starry Night For A Ramble,['Starry Night For A Randy']
1211,Berwick Billy,"['Come To Berwick Johnny', 'Go To Berwick Johnny', 'Go To Berwick, Billy', 'Go To Berwick, Johnny']"
1212,Croen A Ddafad Felan,"['Croen Y Ddafad Felen', 'Three Jolly Sheepskins', 'Yellow Sheepskin, The']"
1214,"Girl Of The House, The","['Cailin An Ti Mhoir', 'Cailín An Tí Mhóir', ""Dennis Murphy's"", 'Girl From The Big House, The', 'Girl In The Big House, The', 'Girl Of The Big House, The', 'Girl Of The House, The', 'House Keeper, The', 'Housekeeper, The', 'Lisheen, The', 'Little Girl In The Big House, The', ""McLaughlin's"", 'McLoughlins', ""Robbie Hannan's"", ""Robbie Hannon's"", ""Sheehan's"", 'Woman Of The Big House, The']"
1216,Strike The Gay Harp,"['Catholic Boys, The', ""Fitzpatrick's"", 'Gay Harp, The', ""Jackson's Night Cap"", 'Loosen The Belt', 'Loosen The Belt On Her', 'Night Dance, The', ""Piper's Welcome, The"", 'Rattle The Bottles', 'Strike The Young Harp']"
1217,"Green Brechans O' Branton, The","['Brekken At Branton', 'Green Bracken', 'Green Brechans Of Branton, The', 'Green Breckons', 'Ragg']"
1218,Cock O' The North,"['Auntie Mary', 'Auntie Mary Had A Canary', 'Aunty Mary Had A Canary', 'Chase Me Charlie', ""Cock O'The North"", 'Cock Of The North', 'Cock Of The North, The', 'Highland Mary', ""S'mie Lhiam Cappan Dy Hey""]"
1219,Eileen O'Callaghan's,"['Canny Highland Fling, The', ""Gagan's"", ""Geaghan's"", ""Geaghan's Fancy"", ""Geehan's"", ""Geogahan's"", ""Geogehan's"", ""Geoghagan's"", ""Geoghan's"", ""Geoghegan's"", ""Geoghegan's Fancy"", ""Grogan's"", ""Grogan's Favourite"", ""Paddy Canny's"", ""Paddy Cavanagh's"", ""Peter Carberry's""]"
1220,Will You Come Home With Me?,"[""An D'Tiocfaid Tu Abaile Liom"", ""An D'Tiocfaidh Tú Abhaile Liom"", 'An dTiocfaidh Tú Abhaile Liom?', 'An Tiochfaidh Tu Abhaile Liom', ""Michelle's"", 'Tiocfaidh Tú Abhaile Liom', 'Tiocfaidh Tú Abhaile Liom?', 'Tiocfaidh Tú Abhaile?', 'Will You Come Home With Me', 'Will You Come With Me?', ""Won't You Come Home With Me""]"
1221,Kitty O'Shea's,"[""Kitty O. Shea's"", ""Kitty O'Neil"", ""Kitty O'Neil's"", ""Kitty O'Neil's Champion Jig"", ""Kitty O'Neill"", ""Kitty O'Neill's"", ""Kitty O'Neill's Champion Jig"", ""Kitty O'Niel's"", ""Kitty O'Niell's"", ""Kitty O'Shea"", ""Kitty O'Shea's Champion Jig"", ""Kitty Sharp's Champion Jig""]"
1224,Larkin's Beehive,"[""Larkin's Beehives""]"
1225,"Lady On The Boat, The","['Bugle Horn March, The', 'Bugle Horn, The', 'Bugle March, The', 'Bugle Quickstep, The', 'Bugle, The', 'Fermanagh Quickstep', 'Lady In The Boat, The', ""McCarthy's Quickstep""]"
1227,Sawdl Y Fuwch,"['Clawdd Offa', 'Cowslip, The', ""Offa's Dyke"", 'Oswestry Square, The']"
1229,Bonnie Dundee,['Bonny Dundee']
1230,"Merry Harriers, The","['Cup Of Tea, The', 'Grouse In The Bog, The', 'Merrier Harriers, The', 'Merry Harrier, The', ""Merry Harrier's""]"
1231,"Fair-haired Lass, The","[""Ciaran Kelly's"", 'Dark Haired Lass, The', 'Fair Haired Lass, The', 'Jig Away The Donkey', ""Mick Hoy's"", ""Mick Hoy's Jig Away The Donkey"", ""Mick's Jig Away The Donkey""]"
1232,Hundred Pipers,"['100 Pipers, The', 'A 100 Pipers', 'A Hundred Pipers', 'Hair Fell Off My Coconut, The', 'Hair Of The Coconut, The', 'Hundred Pipers, The', ""I'll Eat No More Of Your Barley Bread"", 'March Of The 49th (Sault-Ste-Marie) Field Artillery', 'March Of The 49th Field Artillery', 'One Hundred Pipers', 'Regimental March Of The Royal West Kents, The', ""Wi' A Hundred Pipers"", ""Wi' A Hundred Pipers An' A', An' A'"", ""Wi' A Hundred Pipers, A' A', An' A'"", 'With A Hundred Pipers']"
1234,Mrs Galvin's,"[""Miss Galvin's"", ""Woman's Choice, The""]"
1239,Riding On A Load Of Hay,['Riding On A Bale Of Hay']
1241,Felton Lonnen,"['Bride Has A Bonnie Thing, The', 'Bride Has A Bonny Thing, The', ""Bride's A Bonnie Thing, The"", ""Bride's A Bonny Thing, The"", 'Felton Lonnin', 'Felton Lonning', 'Pelton Lonnon']"
1242,Brown Jug,"['Armatree Brown Jug', 'Bonny Little Brown Jug', 'Bonny Little Brown Jug That I Love Dear', 'Little Brown Jug', ""Little Brown Jug Don't I Love Thee"", 'Little Brown Jug, The', 'Pat-a-cake']"
1243,Boil The Kettle Early,['Boil The Kettle Early Highland Fling']
1244,Condon's Frolics,"['An Tuigeadoir', 'Castletown', 'Castletown Conners', 'Castletown Connors', ""Condom's Frolics, The"", ""Connor's"", 'Digging For Gold', 'Made To Measure', 'Shores Of Lough Reagh', 'Shores Of Lough Reagh, The', 'Shores Of Loughrea, The', 'Thatcher, The', ""Thatcher's, The""]"
1245,Allt-y-Caethiwed,"['Brochan Lom', 'Cathy Jones', ""Cathy Jones'"", 'Chicken Waltz, The', 'Katy Jones', ""Katy Jones'"", 'Kitty Jones', ""Kitty Jones'"", ""Kitty Jones' Fling"", 'Orange & Blue Highland, The', 'Orange And Blue', 'Orange And Blue Highland Fling, The', 'Orange And Blue, The', 'Orange And The Blue, The', 'Wood-bine Cottage', 'Woodbine Cottage', 'Woodbine Highland Fling, The']"
1246,Father Newman's,"[""John Brady's""]"
1247,"Piper On Horseback, The","[""Aislinn's Fancy"", ""O'Connell's"", ""Owney Davey's""]"
1248,I Will If I Can,"['Boys From The West, The', 'Hexham Races', ""Jude's Farewell"", ""Kenmure's On And Awa'"", ""Kenmure's Up And Awa""]"
1249,"Stage, The","[""Coleman's Hornpipe #1"", 'Cumann .na .tSúgairí', 'Cumann Na Sugairead', 'Cumann Na Súgairí', ""Merrymaker's Club"", ""Merrymaker's Club, The"", 'Merrymakers Club, The', 'Norfolk, The', 'Omnibus, The', ""Swaggerers' Club, The""]"
1250,Mrs Crehan's,"['Ballymahon, The', 'Capel Street', ""Mrs. Crehan's""]"
1252,Jigging The Donkey,"[""Eddie's Jig Away The Donkey"", 'Jig Away The Donkey']"
1254,"Random, The",['Random Notes']
1255,"Piper's Chair, The","['Cathaoir An Phiobaire', 'Catholic Boy, The', ""Duck's Leg"", ""Duck's Leg, The""]"
1256,Kenmure Mansions,['Can You Imagine?']
1257,Tŷ A Gardd,"[""Hen's Feet And Carrots"", 'House And Garden']"
1258,"Kinnegad Slashers, The","[""Brian O'Linn"", 'Horse That Made A Hames Of His Winkers, The', 'Kinegad Slasher', 'Kinegad Slashers', 'Kinegad Slashers, The', 'Kinnegard Slashers', 'Land Of Sweet Erin', 'Land Of Sweet Erin, The', 'Leitrim Slashers, The', 'Leitrim Slushers', 'Leitrim Slushers, The', ""O, An Irishman's Heart"", 'O! Merry Am I', 'Paddy Digging For “Goold”', 'Power Of Whiskey', 'Powers Of Whiskey', 'Put On Your Clothes', 'Twin Sisters']"
1260,Jack Broke Da Prison Door,"['Destructive Jack', 'Jack Broke Da Prison Door (and Went Ska!)', 'Jack Broke Down The Prison Door', 'Jack Broke The Prison Door', 'Jock Broke Da Prison Door', 'John Broke The Prison Door']"
1262,"Fairies', The","['An Leanbh Sidhe', ""Faeries', The"", 'Fairies, The', 'Fairy Boy, The', ""Fairy's, The""]"
1263,Her Long Dark Hair Flowing Down Her Back,"[""Annie Russell's"", 'Flowing Down Her Back And The Colour Of Her Golden Hair Was Black', 'Her Golden Hair Hanging Down Her Back', 'Her Golden Hair Was Black', 'Her Golden Hair Was Hanging Down Her Back', 'Her Golden Hair Was Hanging Down Her Back And The Colour Of Her Golden Hair Was Black', 'Her Golden Long Hair Flowed Down Her Back', 'Her Long Black Hair', 'Her Long Brown Hair Flowed Down Her Back', 'Her Long Golden Hair', 'Her Long Hair Flowing Down Her Back', 'Her Lovely Hair Flowing Down Her Back', 'Her Lovely Hair Was Flowing Down Her Back', ""Junior Crehan's"", 'With Her Long Hair Flowing Down Her Back', 'With Her Lovely Golden Hair Flowing Down Her Back', 'With Her Lovely Long Hair']"
1264,"Boys Of The Town, The","[""Bob Lennon's"", ""Bobby Casey's"", 'Boys On The Town, The', 'Metal Bridge, The', 'Mullagh', 'Portroe', 'Regent, The']"
1265,"Heathery Cruach, The","['An Cruach Fraoch', ""John Mhosai's"", ""John Mhosey McGinley's"", ""John Mosai Mc Ginley's"", ""John Mosai McGinley's"", 'John Mosai McGinleys', ""Johnny Mhosai's"", 'Ladies Of Tullybardee', 'Monaghan Switch', 'Monaghan Switch, The']"
1268,Glory,"['Glory, The', 'Ríl Na nGlor']"
1270,"Beauty Spot, The","['An Ball Seirce', ""Colonel Taylor's"", 'Sean Maguires', 'Tempting Spot']"
1272,"College Groves, The","['College Grove', 'College Grove, The', 'Cottage Grove', 'Cottage Grove, The', 'Cottage Groves', 'Cottage Groves, The', 'Mill Stone, The', 'Millstone', 'Millstone, The', ""Miss Corbett's"", 'New Demesne, The', ""Paddy Reynold's""]"
1273,"Navvy On The Shore, The","['Navvy On The Line', 'Navvy On The Line, The', ""Navvy's Farewell, The"", 'Navy On The Shore, The', 'Péarla Na gCluainte', 'Pride Of Cloontia, The', 'Pride Of Cluinte, The']"
1274,"New Found Out, The","['Aggie Whyte', ""Aggie Whyte's"", 'An Slipéar Sróil', 'High Road To Galway, The', 'Satin Slipper, The', ""Seamus Connolly's"", 'Silver Slipper, The']"
1275,A.A. Cameron's,['A.A. Cameron']
1276,"Irish, The","[""Brogan's"", ""Charlie Lennon's"", ""Francie Mooney's"", ""Francis Mooney's"", ""Garrett Barry's"", 'Hag With The Fiddle, The', ""Hugh Gillespie's"", ""Johnny Doherty's"", ""Ó Brógáin's"", 'Old Donegal, The', ""Old Joe's"", ""Phroinsias'"", 'Polka, The', ""Sonny Brogan's"", ""Sonny Ó Brógáin's"", ""Sonny's"", ""Vincent Campbell's""]"
1279,"Coast Of France, The",['Afdordir Ffrainc']
1281,Sarah Hobbs,"[""Bill Harte's"", 'Ríl Liaim Uí Airt', ""Sarah Hobb's"", 'Sarah Hobbs', ""Sarah Hobbs'""]"
1283,"Flowers Of Spring, The","['Bláthanna An Earraigh', 'Northern, The', ""Tom Billy Murphy's No. 1"", ""Tom Billy's"", ""Tom Billy's Favourite""]"
1284,Stay A Wee Bit Bonny Lad,"['Stay A Wee Bit Bonnie Lad', 'Stay A Wee While Bonnie Lad', 'Stay A Wee While Bonny Lad']"
1285,Staten Island,"['Staten Island Ferry', 'Staten Island Ferry, The', 'Staten Island, The']"
1286,Rob Roy,"['Rob Roy, The']"
1287,"Battle Of Yellow Ford, The","['Barrack Hill', 'Máirseáil Uí Néill', 'March To Aughrim, The', ""O'Neill's""]"
1288,"Abbeyleix, The","['Abbey Leaks', 'Abbey Leix, The', ""Bowe's""]"
1292,Hector The Hero,['Hector MacDonald The Hero']
1293,"Exile Of Erin, The","['Exile From Erin', 'Exile From Ireland']"
1294,Across The Fence,"[""Across The Fence To The Neighbour's Wife"", 'Cross The Fence', 'Crossing The Fence', ""Dwyer's"", 'Jack Came Over The Fence', ""McGlinchey's"", ""McGlinchy's""]"
1296,"Old French, The","['Little Old Man', 'Little Old Man, The', ""Rambler's Hornpipe"", ""Rambler's Hornpipe, The"", ""Rambler's, The"", 'Reel De St-Tite']"
1299,Jimmy's Return,"['Dunrobin Castle', 'Jimmys Return', ""Seámus Meehan's""]"
1300,Reel De L'aveugle,"[""Blind Man's, The"", ""Blindman's, The""]"
1301,"Trip To Athlone, The","['A Trip To Athlone', 'Gearrchaile Bhaile Uí BhFiacháin', 'Newport Lass, The', 'Newport Lasses', 'Newport Lasses, The', ""O'Brien's Fancy"", 'Trip To Athlone, The']"
1302,"Walking Stick, The","['Silver Slipper, The', ""Tommy Peoples'""]"
1303,Paddy's Trip To Scotland,"['Mooncoin', 'Sergeant Murphy']"
1304,Doctor O'Neill,"[""Doctor O'Neill's"", ""Dr O'Neill's"", ""Dr. O' Neal"", ""Dr. O'Neal"", ""Dr. O'Neill"", ""Dr. O'Neill's""]"
1305,"Bush On The Hill, The","['Humours Of Milltown, The', 'Humours Of Miltown, The', 'Lonesome, The', 'Low Down, The', 'Lowdown, The', ""McGlinchy's"", 'Milltown, The', 'Miltown, The', ""Ryan's"", 'West Clare']"
1306,Eighth Of January,"['8th Of January', '8th Of January, The', 'Battle For New Orleans, The', 'Battle Of New Orleans, The', 'Eighth Of January, The', 'Gulf Of Mexico', 'Gulf Of Mexico, The', ""Jackson's Victory""]"
1307,Lucy Farr's,"['7 Step', '7 Step, The', '7 Steps, The', '7-Step', '7-Step, The', 'Cross Schottische', 'Cross Schottische, The', 'Da Seven Step', 'Da Seven Step Polka', 'Double Schottische', 'Double Schottische, The', 'German', 'German Schottische, The', 'German, The', 'Italian Schottische', 'Italian Schottische, The', 'Kilnamona, The', ""Lucy Farr's"", ""Lucy Farr's Fling"", 'Maltese Schottische', 'Maltese Schottische, The', 'Plain Schottische, The', 'Seven Step Polka', 'Seven Step Polka, The', 'Seven Step Schottische, The', 'Seven Steps', 'Seven Steps, The', 'Seven-Step Polka', 'Seven-Step, The', 'Seven-Steps, The', 'Shetland Seven Step', 'Shetland Seven Step Polka', 'Shetland Seven Step Polka, The', 'Shetland Seven Step, The', 'Shottee', 'Siebenschritt', 'Spanish Schottische', 'Spanish Schottische, The', 'Ulster 7-Step, The', 'Ulster Seven Step Polka, The', 'Ulster Seven Step, The']"
1308,After The Battle Of Aughrim,"['Battle Of Aughrim', 'Battle Of Aughrim March, The', 'Battle Of Aughrim, The', 'Cath Eachroma', 'Return From The Battle Of Aughrim']"
1310,"Morpeth Rant, The","[""Abram Wood's Hornpipe"", 'Car Juan Nan', ""Morpeth's Hornpipe"", ""Morpeth's Rant"", 'Pibddawns Abram Wood', 'Pibddawns Morfudd', 'She Shoh Dooyrt My Vummig']"
1311,Jackson's,"[""Jackson's Favourite"", ""Jackson's No. 1"", 'Jacksons']"
1312,"Irish Waterman, The","['Do Virgins Taste Better?', 'Irish Washerwoman, The']"
1313,"Shepherd's Daughter, The","[""Dan Breen's"", ""John Egan's"", ""Shepard's Daughter, The""]"
1314,Down By The Sally Gardens,"['An Traigh Mughdhorna', 'Down By The Salley Gardens', 'Gort Na Saileán', 'Maid Of Moorlough Shore, The', 'Maid Of Mourne Shore, The', 'Maid Of The Mourne Shore, The', 'Maids Of Mourne Shore', 'Maids Of Mourne Shore, The', 'Maids Of The Mountain Shore, The', 'Mourne Shore', 'Mourne Shore, The']"
1315,Alister McAlister,"['Alasdair MacAlasdair', 'Alasdair MacAlister']"
