chant_id,incipit,genre,mode,finalis,absolute_url,src_link,cantus_id,indexing_notes,source_description
562633,Ecce nunc palam loqueris et ,Antiphon,8,G,https://cantusdatabase.org/chant/562633,https://cantusdatabase.org/source/123756,002530,,
671551,Dominus tamquam ovis ad victimam ,Antiphon,2,D,https://cantusdatabase.org/chant/671551,https://cantusdatabase.org/source/669163,002422,"D in ""dominus"" is repeated in the MS","Spanish-language inscriptions and annotations suggest this antiphoner’s origin and use in Spain, although no date or place of origin or use is recorded or known. Prior to arrival at the University of Sydney library in 2017, its most recent ownership was in northern Europe. 
 
The volume has been part of a set, as indicated by the Spanish inscription on the inside front cover: “Tiene los Reyes y las os Libro .3. Bisperas” (It has the Kings [Epiphany] and the Os [O antiphons] Book 3 Vespers). The book’s presentation suggests its design to follow immediately from the previous book in the set. 

The binding appears original, and the book is complete apart from the loss of one folio. Arabic numerals are employed for the foliation and are placed top right recto of each folio. This appears to be the original foliation. Gathering numbers remain visible at bottom right corner of many folios. Initials indicate hierarchy of chants with the two most important categories employing both red and blue ink; black initials often with yellow highlighting are also used. The book shows signs of use and wear, and folios have been repaired sometimes with the addition of patches taken from other manuscript pages (including some showing more modern musical notation).
 
On the middle of the verso side of the book’s final folio is a blank patch. Hidden beneath this pasted paper attachment is a colophon written in Spanish and probably dating from the time of copying of the book. The text refers to the involvement of two women in the book’s preparation. They, along with the unnamed scribe, ask to be remembered by the users of the book in their prayers.

Inventory and description by Kathleen Nelson, The University of Sydney. 
Completed September 2019."
562160,Seniores populi consilium fecerunt ut ,Responsory,1,D,https://cantusdatabase.org/chant/562160,https://cantusdatabase.org/source/123756,007636,,
467250,Ad te domine levavi animam,Antiphon,4T,A,https://cantusdatabase.org/chant/467250,https://cantusdatabase.org/source/123730,001255,,"It is quite clear that the monastery was under the influence of the Hirsau reform.  See article by Janka Szendrei in bibliography; the comparison with south German sources, such as the Zwiefalten antiphoner (Karlsruhe, Badische Landesbibliothek - Musikabteilung, Aug. LX), seems to confirm it.
*It is problematic that this antiphoner contains almost no rubrics.*  For example, the distribution of antiphons for the weekdays is not clear.  It is evident, however, from the size of the initials that the chants are organized, and are not merely unstructured lists of items.  The initials suggest a distribution of items for individual days of the week even when there are no explicit rubrics.  Since the Office of the St. George monastery is well documented – it is one of the most numerous manuscript collections in Czech libraries – concordances have been located in two breviaries from the same époque: (See online images of these breviaries in the Manuscriptorium digital library: http://www.manuscriptorium.com/apps/main/en/index.php)
1. The breviary of Kunegunda of Kolovraty, a nun who commanded the manuscript between 1365 and 1385, shortly before she became abbess of the St. George Monastery. Shelfmark: Prague, Národní knihovna (National Library), XIII E 14a.
Click (as of 2012): http://www.manuscriptorium.com/apps/main/index.php?request=show_record_n...
2.  Shelfmark: Prague, Národní knihovna (National Library), XIII C 1a
Click (as of 2012): http://www.manuscriptorium.com/apps/main/en/index.php?request=show_recor...
Comparison with these two breviaries has enabled interpretation of the St. George monastery antiphoner in some ambiguous situations.
The differentiae of each mode have been numbered with a two-digit system: an upper-case letter indicating the final pitch of the differentia and a sequentially-ordered numeral."
560736,Stephanus servus dei quem lapidabant ,Responsory,8,G,https://cantusdatabase.org/chant/560736,https://cantusdatabase.org/source/123756,007704,,
557534,Si diligis me Simon Petre,Responsory,6T,C,https://cantusdatabase.org/chant/557534,https://cantusdatabase.org/source/123716,007649,,"This antiphoner was written for the female Augustinian chapter of canonesses, St. Vitus in Hilwartshausen. It may have been paired with D-W 29 Helmst. (Heinemann 32), as the contents are complementary. The manuscript was given to the Fritzlar library by Wilhelm von Lysfelt, and transferred from Fritzlar to Wolfenbüttel in 1587. 

<b>Physical Description:</b> Parchment leaves. Covers of pigskin over wood binding. The manuscript has coloured initials with garnet ornaments (leaves and flowers) on ff. 1r, 6r, 19r, 28r, 57r, 124r, 180r, and 202v. Other initials are in red, blue, and black. Modern foliation (I to CXCI) in red ink on ff. 28-219.

<i>Differentiae</i> are indicated by their last note and an arbitrarily-assigned number (e.g., G1, D1, E1, etc.).

This manuscript source was previously identified in the Cantus Database as #31, as listed in the manuscript catalogue of Otto von Heinemann."
561787,Pater Abraham miserere mei et ,Antiphon,8,G,https://cantusdatabase.org/chant/561787,https://cantusdatabase.org/source/123756,004231,,
670564,Sit nomen domini benedictum in ,Antiphon,7,G,https://cantusdatabase.org/chant/670564,https://cantusdatabase.org/source/669163,004971,,"Spanish-language inscriptions and annotations suggest this antiphoner’s origin and use in Spain, although no date or place of origin or use is recorded or known. Prior to arrival at the University of Sydney library in 2017, its most recent ownership was in northern Europe. 
 
The volume has been part of a set, as indicated by the Spanish inscription on the inside front cover: “Tiene los Reyes y las os Libro .3. Bisperas” (It has the Kings [Epiphany] and the Os [O antiphons] Book 3 Vespers). The book’s presentation suggests its design to follow immediately from the previous book in the set. 

The binding appears original, and the book is complete apart from the loss of one folio. Arabic numerals are employed for the foliation and are placed top right recto of each folio. This appears to be the original foliation. Gathering numbers remain visible at bottom right corner of many folios. Initials indicate hierarchy of chants with the two most important categories employing both red and blue ink; black initials often with yellow highlighting are also used. The book shows signs of use and wear, and folios have been repaired sometimes with the addition of patches taken from other manuscript pages (including some showing more modern musical notation).
 
On the middle of the verso side of the book’s final folio is a blank patch. Hidden beneath this pasted paper attachment is a colophon written in Spanish and probably dating from the time of copying of the book. The text refers to the involvement of two women in the book’s preparation. They, along with the unnamed scribe, ask to be remembered by the users of the book in their prayers.

Inventory and description by Kathleen Nelson, The University of Sydney. 
Completed September 2019."
561208,Naturae genitor conserva morte redemptos ,Antiphon,4,E,https://cantusdatabase.org/chant/561208,https://cantusdatabase.org/source/123756,003855,,
670715,Dives ille guttam aquae petiit ,Antiphon,7,G,https://cantusdatabase.org/chant/670715,https://cantusdatabase.org/source/669163,002258,,"Spanish-language inscriptions and annotations suggest this antiphoner’s origin and use in Spain, although no date or place of origin or use is recorded or known. Prior to arrival at the University of Sydney library in 2017, its most recent ownership was in northern Europe. 
 
The volume has been part of a set, as indicated by the Spanish inscription on the inside front cover: “Tiene los Reyes y las os Libro .3. Bisperas” (It has the Kings [Epiphany] and the Os [O antiphons] Book 3 Vespers). The book’s presentation suggests its design to follow immediately from the previous book in the set. 

The binding appears original, and the book is complete apart from the loss of one folio. Arabic numerals are employed for the foliation and are placed top right recto of each folio. This appears to be the original foliation. Gathering numbers remain visible at bottom right corner of many folios. Initials indicate hierarchy of chants with the two most important categories employing both red and blue ink; black initials often with yellow highlighting are also used. The book shows signs of use and wear, and folios have been repaired sometimes with the addition of patches taken from other manuscript pages (including some showing more modern musical notation).
 
On the middle of the verso side of the book’s final folio is a blank patch. Hidden beneath this pasted paper attachment is a colophon written in Spanish and probably dating from the time of copying of the book. The text refers to the involvement of two women in the book’s preparation. They, along with the unnamed scribe, ask to be remembered by the users of the book in their prayers.

Inventory and description by Kathleen Nelson, The University of Sydney. 
Completed September 2019."
